business_name,owner_name,address,main_category,subcategory,detailed_subcategory,founded_year,closed_year,liquidation_date,registration_info,additional_details,confidence_score
A. Mustroph,A. Mustroph,"Charlottenstr. 6, Berlin",industry,Industry,Mustroph jewelry and precious metals,1902,1935,,Eingetragen im Handelsregister/ Gründung 1902 Erloschen 1935 Charlottenstr; Gründung 1902 Erloschen 1935 Charlottenstr; Erloschen 1935 Charlottenstr,,0.9
A. Müller u. A. Müller,Potsdamer Str,"111, Berlin",trade,Trade,"ller machines, motor vehicles & technical articles",1926,1937,,Eingetragen im Handelsregister/ Gründung 1926 Erloschen 1937 Potsdamer Str; Gründung 1926 Erloschen 1937 Potsdamer Str; Erloschen 1937 Potsdamer Str,,0.9
A. N. Schmidt & Co GmbH,Co Gmb,"124, Berlin",,31.05.1932,Schmidt & Co GmbH leather and shoes,1922,1940,1939-03-13,Eingetragen im Handelsregister/ Gründung 1922 Besitzübernahme 1938 Liquidation ab 1939-03-13 00:00:00 Erloschen 1940 Leipziger Str; Gründung 1922 Besitzübernahme 1938 Liquidation ab 1939-03-13 00:00:00 Erloschen 1940 Leipziger Str; Erloschen 1940 Leipziger Str; Liquidation ab 1939-03-13 00:00:00 Erloschen 1940 Leipziger Str; Besitzübernahme 1938 Liquidation ab 1939-03-13 00:00:00 Erloschen 1940 Leipziger Str,Company types: GmbH,0.9
A. Neumann & Co,A. Neumann & Co,"Platz 11, Berlin",handicraft,Handicraft,Neumann & Co construction,1902,1936,,Eingetragen im Handelsregister/ Gründung 1902 Erloschen 1936 Gudrunstr; Gründung 1902 Erloschen 1936 Gudrunstr; Erloschen 1936 Gudrunstr,,0.9
A. Schreiber & Co,A. Schreiber & Co,"Friedrichstr. 187/188, Berlin",,15.10.1935,metals and metal goods,1937,1940,,Eingetragen im Handelsregister/ Gründung 1937 Erloschen 1940 Friedrichstr; Gründung 1937 Erloschen 1940 Friedrichstr; Erloschen 1940 Friedrichstr,,0.9
A. Schäfer Spedition & Möbeltransport,A. Schäfer Spedition & Möbeltransport,"Wilhelmsaue 36, Berlin",,24.06.1939,transportation,1851,1939,,"Eingetragen im Handelsregister/ Gründung 1851 Besitzübernahme 1939 Wilhelmsaue 36,  Berlin; Gründung 1851 Besitzübernahme 1939 Wilhelmsaue 36,  Berlin; Besitzübernahme 1939 Wilhelmsaue 36,  Berlin",,0.9
A. Schön & Co,A. Schön & Co,"16, Berlin",,28.01.1936,leather and shoes,1933,1940,1938-10-09,Eingetragen im Handelsregister/ Gründung 1933 Liquidation ab 1938-10-09 00:00:00 Erloschen 1940 Neue Schönhauser Str; Gründung 1933 Liquidation ab 1938-10-09 00:00:00 Erloschen 1940 Neue Schönhauser Str; Erloschen 1940 Neue Schönhauser Str; Liquidation ab 1938-10-09 00:00:00 Erloschen 1940 Neue Schönhauser Str,,0.9
A. Seydel & Cie AG,A. Seydel & Cie AG,"29/30, Berlin",industry,Industry,Seydel & Cie AG publishing and printing,1922,1937,,Eingetragen im Handelsregister/ Gründung 1922 Erloschen 1937 Teltower Str; Gründung 1922 Erloschen 1937 Teltower Str; Erloschen 1937 Teltower Str,Company types: AG,0.9
A. Spörer & Co,A. Spörer & Co,"27, Berlin",trade,Trade,rer & Co textiles and clothing,1916,1939,,Eingetragen im Handelsregister/ Gründung 1916 Erloschen 1939 Regensburger Str; Gründung 1916 Erloschen 1939 Regensburger Str; Erloschen 1939 Regensburger Str,,0.9
A. Steiner,A. Steiner,"Königstr.  83, Berlin",,,,,,,,,0.9
A. Suponitzki & Co,A. Suponitzki & Co,"33, Berlin",,01.03.1935,textiles and clothing,1935,1939,,Eingetragen im Handelsregister/ Gründung 1935 Erloschen 1939 Kaiser-Wilhelm-Str; Gründung 1935 Erloschen 1939 Kaiser-Wilhelm-Str; Erloschen 1939 Kaiser-Wilhelm-Str,,0.9
A. Sylbertrest,A. Sylbertrest,"34, Berlin",,,,,,,,,0.9
A. Ullendorff & Co,A. Ullendorff & Co,"78/80, Berlin",,15.08.1919,chemicals and pharmaceuticals,1919,1942,,Eingetragen im Handelsregister/ Gründung 1919 Besitzübernahme 1938 Erloschen 1942 Prinz-Handjery-Str; Gründung 1919 Besitzübernahme 1938 Erloschen 1942 Prinz-Handjery-Str; Erloschen 1942 Prinz-Handjery-Str; Besitzübernahme 1938 Erloschen 1942 Prinz-Handjery-Str,,0.9
A. V. G. Autoreifen-Vertriebs-Gesellschaft mbH,Saul Riebenfeld,"22/23, Berlin",,25.11.1938,"Autoreifen-Vertriebs-Gesellschaft mbH machines, motor vehicles & technical articles",1930,1940,1938-01-25,Eingetragen im Handelsregister/ Gründung 1930 Besitzübernahme 1938 Liquidation ab 1938-01-25 00:00:00 Erloschen 1940 Joachimsthaler Str; Gründung 1930 Besitzübernahme 1938 Liquidation ab 1938-01-25 00:00:00 Erloschen 1940 Joachimsthaler Str; Erloschen 1940 Joachimsthaler Str; Liquidation ab 1938-01-25 00:00:00 Erloschen 1940 Joachimsthaler Str; Besitzübernahme 1938 Liquidation ab 1938-01-25 00:00:00 Erloschen 1940 Joachimsthaler Str,Company types: GmbH,0.9
